CODIGO;DESCRIPCION;EXISTENCIA;PRECIO;EMPRESA
12305-28060N;CARGADOR DE MOTOR  RAV4 96-00 DEL.DER.;17.00 ;285.0000 ;SURJA
12305-28230N;CARGADOR DE MOTOR RAV 4 2.4L 06-DEL. DER.;14.00 ;265.0000 ;SURJA
12361-0C021N;CARGADOR DE MOTOR HILUX VIGO 05- 12361-0C021/12361-0C010;42.00 ;70.0000 ;SURJA
12361-21020N;CARGADOR DE MOTOR RAV 4 01-05 DEL.;27.00 ;100.0000 ;SURJA
12361-28060N;SOPORTE DE MOTOR TOY. CAMRY 02-06 L4 2.4 12361(12363)-28060;0.00 ;95.0000 ;SURJA
12361-28230N;CARGADOR DE MOTOR RAV4 2.4L 06-08;34.00 ;105.0000 ;SURJA
12361-35050;CARGADOR DE MOTOR DE 22R;0.00 ;55.0000 ;SURJA
12361-35050N;CARGADOR DE MOTOR DE 22R 70-;0.00 ;55.0000 ;SURJA
12361-38060N;CARGADOR DE MOTOR TOYOTA PICK -UP 2WD 84-89;122.00 ;56.0000 ;SURJA
12361-39018N;CARGADOR DE MOTOR TOYOTA PICK-UP 72-83;38.00 ;65.0000 ;SURJA
12361-54020N;CARGADOR DE MOTOR DEL. HILUX RN30 78-81;44.00 ;65.0000 ;SURJA
12361-54120N;CARGADOR DE MOTOR HILUX 4WD LN 65-88 LATERAL R/L;4.00 ;55.0000 ;SURJA
12361-54140N;CARGADOR DE MOTOR R/L HILUX, HIACE, LN40 88-93;9.00 ;55.0000 ;SURJA
12361-65010N;CARGADOR DE MOTOR HILUX 90-95,TACOMA 2.4L 95-04 2WD;70.00 ;90.0000 ;SURJA
12371-21020N;CARGADOR DE MOTOR COROLLA , YARIS 00-05 TRASERO;37.00 ;130.0000 ;SURJA
12371-28020N;CARGADOR DE MOTOR RAV 4 01-05 TRAS. TUERCA;33.00 ;155.0000 ;SURJA
12371-28190N;CARGADOR DE MOTOR RAV4 2.4L 06- TRAS. DER.;34.00 ;190.0000 ;SURJA
12371-31020N;CARGADOR DE  CAJA PICK-UP 76-78;44.00 ;103.0000 ;SURJA
12371-35030N;CARGADOR DE CAJA 22R, LAND CRUISER 12371-35030 NEXG.;0.00 ;125.0000 ;SURJA
12371-35050N;CARGADOR DE CAJA 4RUNNER 86-94 ,PICK-UP 22R 86-9512371-35050 NEXG.;0.00 ;131.0000 ;SURJA
12371-54050N;CARGADOR DE CAJA 4WD RN50 84-89 NEXG.;52.00 ;125.0000 ;SURJA
12372-0H180N;CARGADOR DE MOTOR RAV 4 06-;28.00 ;220.0000 ;SURJA
12372-23010N;CARGADOR DE MOTOR YARIS 00-05 IQZ. INFERIOR;38.00 ;90.0000 ;SURJA
12372-28031N;CARGADOR DE MOTOR RAV4 TRANS AUTOMATICA IZQ. 01-05 (12372-28041);36.00 ;200.0000 ;SURJA
16571-07030;MANGUERA RADIADOR TOY TACOMA ARRIBA;0.00 ;45.0000 ;SURJA
16571-11050;MANGUERA RAD. TOYOTA COROLLA 3E ARRIBA;0.00 ;26.0000 ;SURJA
16571-11220;MANGUERA RAD. TOYOTA TERCEL 1.50 ARRIBA;0.00 ;29.0000 ;SURJA
16571-15150;MANGUERA RAD. TOY COROLLA  88-92 ARRIBA;0.00 ;32.0000 ;SURJA
16571-15160;MANGUERA RADIADOR TOYOTA COROLLA ARRIBA 93-;0.00 ;80.0000 ;SURJA
16571-31024;MANGUERA RADIADOR TOY HI-LUX RN30 ABAJO JD4564;0.00 ;40.0000 ;SURJA
16571-33011;MANGUERA RADIADOR TOYOTA INF. 22R JD4560;0.00 ;39.0000 ;SURJA
16571-33011N;MANGUERA RADIADOR TOYOTA INF. 22R JD4560;145.00 ;39.0000 ;SURJA
16571-35070;MANGUERA RADIADOR TOYOTA HI-LUX 89- ARRIBA;0.00 ;31.0000 ;SURJA
16571-54030;MANGUERRA RADIADOR TOYOTA HI-LUK ARRIBA;0.00 ;39.0000 ;SURJA
16571-54050;MANGUERA RADIADOR TOY HI-LUX LN30 ARRIB JD4566;0.00 ;33.0000 ;SURJA
16571-54270;MANGUERA RADIADOR TOY HI-LUX SUP;0.00 ;50.0000 ;SURJA
16571-71030;MANGUERA RADIADOR TOY HI-LUX RN55 ARRIB JD4567;0.00 ;42.0000 ;SURJA
16571-72020;MANGUERA RAD. TOYOTA HIACE YH55 ARRIBA;0.00 ;35.0000 ;SURJA
16571-75010;MANGUERA RADIADOR TOY HI ACE ARRIBA;0.00 ;57.0000 ;SURJA
16571-75180;MANGUERA RADIADOR TOY TACOMA ARRIBA;0.00 ;67.0000 ;SURJA
16572-15150;MANGUERA REDIADOR TOYOTA COROLLA 3A ABAJO;0.00 ;33.0000 ;SURJA
16572-31091;MANGUERA RADIADOR TOY HI-LUX RN30 ARRIBA;0.00 ;38.0000 ;SURJA
16572-35060N;MANGUERA PARA RADIADOR TOYOTA 22R INFERIOR JDA0138;181.00 ;29.0000 ;SURJA
16572-54030;MANGUERA RADIADOR TOY HI-LUX ABAJO JD4578;0.00 ;52.0000 ;SURJA
16572-71030;MANGUERA RAD. TOYOTA HI-LUX RN55 ABAJO;0.00 ;53.0000 ;SURJA
16573-38020N;MANGUERA DE RADIADOR TOYOTA HI-LUX 89- ABAJO;328.00 ;29.0000 ;SURJA
17201-30080;TURBO PARA  HI-ACE 2KD;0.00 ;2,350.0000 ;SURJA
17228-PNB-J00;MANGUERA PASO DE AIRE CR-V 05-06;0.00 ;85.0000 ;SURJA
17228-PNE-G00N;MANGUERA PASO DE AIRE CR-V 02-04;63.00 ;75.0000 ;SURJA
17228-R5A-A00;MANGUERA PASO DE AIRE CR-V 12-14;0.00 ;90.0000 ;SURJA
17881-02040;MANGUERA DE FLUJO DE AIRE AGUJERO PEQUEÑO TOYOTA COROLLA 93-97;0.00 ;160.0000 ;SURJA
17881-0D040;MANGUERA PASODE AIRE TOYOTA VIGO Y COROLLA;0.00 ;85.0000 ;SURJA
17881-15180;MANGUERA PARA PASO DE AIRE AGUJERO GRANDE TYT COROLLA 93-97;0.00 ;95.0000 ;SURJA
17881-54200;MANGUERA PASO DE AIRE TOY PICK-UP 2L 84-88;0.00 ;140.0000 ;SURJA
17881-54410;MANGUERA PASO DE AIRE TOY PICK-UP 3L 88-97;5.00 ;160.0000 ;SURJA
17881-54420;MANGUERA PASO DE AIRE TOY HIACE 98-04;0.00 ;100.0000 ;SURJA
17881-54640;MANGUERA PASO DE AIRE TOY HILUX 3.0L 5L 97-01;0.00 ;151.0000 ;SURJA
17881-54820;MANGUERA PASO DE AIRE TOYOTA 22R X4;0.00 ;110.0000 ;SURJA
17881-65020N;MANGUERA  PASO DE AIRE TOYOTA TACOMA 3VZ, V6 84-95;56.00 ;70.0000 ;SURJA
17882-62010;MANG. PASO DE AIRE 4RUNNER V6 AGUJ. PEQ.;0.00 ;95.0000 ;SURJA
17882-62020;MANG. PASO DE AIRE 4RUNNER V6 AGUJ. GRAND.;0.00 ;95.0000 ;SURJA
19100-35180N;DISTRIBUIDOR TYT 22R 85-90 INYECTADO;18.00 ;485.0000 ;SURJA
19501-PAC-000;MANGUERA RAD. HONDA CIVIC ARRIBA;0.00 ;27.0000 ;SURJA
19502-PM3-000;MANGUERA RAD. HONDA CIVIC 16V ABAJO;0.00 ;45.0000 ;SURJA
21100-35520;CARBURADOR TOYOTA 22R;0.00 ;910.0000 ;SURJA
212-1501A;LAMPARA DE LODERA  RN30 79-83 AMARILLO;0.00 ;11.0000 ;SURJA
212-1501R;LAMPARA DE LODERA  RN30 79-83 ROJA;0.00 ;11.0000 ;SURJA
212-1612L;LAMPARA DE BOMPER IZQUIERDA 22R 84-88;0.00 ;21.0000 ;SURJA
212-1612LN;LAMPARA DE BOMPER IZQUIERDA 22R 84-88 NEXG.;4.00 ;23.0000 ;SURJA
212-1612R;LAMPARA DE BOMPER DERECHA 22R 84-88;0.00 ;21.0000 ;SURJA
212-1612RN;LAMPARA DE BOMPER DERECHA 22R 84-88 NEXG.;0.00 ;23.0000 ;SURJA
212-1638L;LAMPARA DE BOMPER IZQUIERDA 22R 89-95;0.00 ;26.0000 ;SURJA
212-1638LN;LAMPARA DE BOMPER IZQUIERDA 22R 89-95 NEXG.;0.00 ;27.0000 ;SURJA
212-1638R;LAMPARA DE BOMPER DERECHA 22R 89-95;0.00 ;26.0000 ;SURJA
212-1638RN;LAMPARA DE BOMPER DERECHA 22R 89-95 NEXG.;0.00 ;27.0000 ;SURJA
212-1914L;LAMPARA TRASERA 22R IZQUIERDA 84-89;0.00 ;55.0000 ;SURJA
212-1914LN;LAMPARA TRASERA 22R IZQUIERDA 84-89 NEXG.;205.00 ;56.0000 ;SURJA
212-1914R;LAMPARA TRASERA 22R DERECHA 84-89;0.00 ;55.0000 ;SURJA
212-1914RN;LAMPARA TRASERA 22R DERECHA 84-89 NEXG.;208.00 ;56.0000 ;SURJA
212-1923-1L;LAMPARA TRASERA 79-83 22R CROMADA IZQUIERDA;0.00 ;84.0000 ;SURJA
212-1923-1R;LAMPARA TRASERA 79-83 22R CROMADA DERECHA;0.00 ;84.0000 ;SURJA
212-1923-2L;LAMPARA TRASERA 79-83 22R NEGRA IZQUIERDA;0.00 ;53.0000 ;SURJA
212-1923-2R;LAMPARA TRASERA 79-83 22R NEGRA DERECHA;0.00 ;53.0000 ;SURJA
212-1945AH;KIT LAMPARA TRASERA  PARA 22R EURO AHUMADAS;0.00 ;445.0000 ;SURJA
212-1945C;KIT LAMPARA TRASERA  PARA 22R EURO CLARAS;0.00 ;445.0000 ;SURJA
212-1945L;LAMPARA TRASERA 22R IZQUIERDA  89-95;0.00 ;58.0000 ;SURJA
212-1945LN;LAMPARA TRASERA 22R IZQUIERDA  89-95 NEXG.;0.00 ;56.0000 ;SURJA
212-1945R;LAMPARA TRASERA 22R DERECHA 89-95;0.00 ;58.0000 ;SURJA
212-1945RN;LAMPARA TRASERA 22R DERECHA 89-95 NEXG.;0.00 ;56.0000 ;SURJA
212-2812L;BOMPERETA  22R 2WD 84 IZQUIERDA;0.00 ;27.0000 ;SURJA
212-2812R;BOMPERETA  22R 2WD 84 DERECHA;0.00 ;27.0000 ;SURJA
212-2813L;BOMPERETA  22R 4WD M84 IZQUIERDA;0.00 ;40.0000 ;SURJA
212-2813R;BOMPERETA  22R 4WD M84 DERECHA;0.00 ;40.0000 ;SURJA
21501-01A00;MANGUERA RAD. NISSAN SENTRA B11 ARRIBA;0.00 ;25.0000 ;SURJA
21501-02W00;MANGUERA RAD. NISSAN PICK-UP 720 ARRIBA;0.00 ;32.0000 ;SURJA
21501-52A00;MANGUERA RADIADOR NISS ARRIBA JD0145;0.00 ;45.0000 ;SURJA
21501-53Y00;MANGUERA RADIADOR NISS B13 ABAJO JD0185;0.00 ;39.0000 ;SURJA
21503-53Y00;MANGUERA RADIADOR NISS B13 ARRIBA JD0186;0.00 ;50.0000 ;SURJA
22231-35011;MANGUERA FLUJO DE AIRE TOYOTA 22R 4X4, 4RUNNER 84-89;0.00 ;100.0000 ;SURJA
22251-35030MB;MANGUERA PARA PASO DE AIRE TOYOTA 22R;0.00 ;100.0000 ;SURJA
22251-35030N;MANGUERA PARA PASO DE AIRE TOYOTA 22R;37.00 ;75.0000 ;SURJA
23100-N9510;ALTERNADOR Z-24;0.00 ;440.0000 ;SURJA
23820-65D00;BOMBA AUXIL.C 3/4 SUZUKI VITARA 98-- YUHOLI;0.00 ;90.0000 ;SURJA
27060-35060E;ALTERNADOR 22R REDONDO;0.00 ;550.0000 ;SURJA
27060-35060N;ALTERNADOR 22R REDONDO NEXG.;9.00 ;550.0000 ;SURJA
27060-35160E;ALTERNADOR 22R OVALADO;0.00 ;462.0000 ;SURJA
27060-35160N;ALTERNADOR 22R OVALADO NEXG.;18.00 ;550.0000 ;SURJA
28100-34080E;STARTER DE 22R;0.00 ;425.0000 ;SURJA
28100-34080N;STARTER DE 22R;0.00 ;450.0000 ;SURJA
30610-H5801Y;BOMBA CENTRAL DE CLUCH NISSAN 5/8 BASE VERTICALY;0.00 ;146.0000 ;SURJA
30610-H8800Y;BOMBA C. CLUTH 5/8 DATSUN B/C 78--YUHOLI;0.00 ;146.0000 ;SURJA
30610-VW00A;BOMBA C.CLUTH 5/8 NISSAN URVAN 02-YUHOLI;0.00 ;225.0000 ;SURJA
30611-N4025;KIT REP. BOM. CENTRAL DE CLUTCH NISSAN DATSUN 5/8;0.00 ;35.0000 ;SURJA
30620-01W01;BOMBA AUXIL.CLUTCH 3/4 NIS PICK-UP D21,URBAN YUHOLI;0.00 ;72.0000 ;SURJA
30620-09G00 Y;BOMBA AUX DE CLUCH NISSAS PI-KUP D21 86- 11/16 Y;0.00 ;72.0000 ;SURJA
30620-0W020;BOMBA AUXIL.CLUTCH 3/4 NISSAN FRONTIER 98- YUHOLI;0.00 ;70.0000 ;SURJA
30620-10G01;BOMBA  AUXIL.CLUTCH 3/4 NIS PICK-UP D21 86-92 YUHOLI;0.00 ;78.0000 ;SURJA
30620-56G22;BOMBA AUXIL.CLUTCH 11/16 NIS. PICK-UP D21 92- YUHOLI;0.00 ;72.0000 ;SURJA
30620-B5000;BOMBA AUX. CLUTCH NISSAS DAT. PICK-UP J15 72--;0.00 ;73.0000 ;SURJA
30620-H1600;BOMBA AUXIL.CLUTCH 3/4 DATSUN 1200 73-- YUHOLI;0.00 ;71.0000 ;SURJA
30621-08025Y;KIT REP. BOM. AUXILIAR DE CLUTCH NISSAN DATSUN 3/4;0.00 ;14.0000 ;SURJA
31100-PNC-004N;ALTERNADOR CR-V 02-06 12V 90 AMP;0.00 ;800.0000 ;SURJA
31100-RAA-A01N;ALTERNADOR CR-V 07-11 , CIVIC 06-11;11.00 ;1,235.0000 ;SURJA
312-1501-1L;LAMPARA DE ESQUINA 22R 89- 2WD CROMADA IZQUIERDA;0.00 ;68.0000 ;SURJA
312-1501-1R;LAMPARA DE ESQUINA 22R 89- 2WD CROMADA DERECHA;0.00 ;68.0000 ;SURJA
312-1510-1L;LAMPARA DE ESQUINA 22R 92-95 4WD CROMADA IZQUIERDA;0.00 ;90.0000 ;SURJA
312-1510-1R;LAMPARA DE ESQUINA 22R 92-95 4WD CROMADA DERECHA;0.00 ;90.0000 ;SURJA
312-1512L-2;LAMPARA ESQUINA IZQUIERDA 22R AMBAR M/N;0.00 ;56.0000 ;SURJA
312-1512R-2;LAMPARA ESQUINA DERECHA 22R AMBAR M/N;0.00 ;56.0000 ;SURJA
312-1517-1L;LAMPARA ESQUINA TACOMA 95- CROMADA IZQUIERDA;0.00 ;119.0000 ;SURJA
312-1517-1R;LAMPARA ESQUINA TACOMA 95 CROMADA DERECHA;0.00 ;119.0000 ;SURJA
31410-12300;BOMBA CENTTAL DE CLUTCH 5/8 TYT COROLLA 92--;0.00 ;174.0000 ;SURJA
31410-12330Y;BOMBA CENTRAL DE CLUCH COROLLA 5/8 Y;0.00 ;160.0000 ;SURJA
31410-16040Y;BOMBA C.CLUTH 5/8 TOY. TERCEL 91-94 YUHOLI;0.00 ;168.0000 ;SURJA
31410-35090D;BOMBA C. CLUTCH 5/8 TOY 22R 84-88;0.00 ;125.0000 ;SURJA
31410-35090N;BOMBA CENTRAL CLUTCH 5/8 TOY 22R 84-88;245.00 ;110.0000 ;SURJA
31410-35140Y;BOMBA C. CLUTCH 5/8 TOY 22R 79- Y;0.00 ;125.0000 ;SURJA
31410-35250D;BOMBA CENTRAL DE CLUTCH 5/8 22R 89-95;0.00 ;125.0000 ;SURJA
31410-35250N;BOMBA CENTRAL DE CLUTCH 5/8 22R 89-95;147.00 ;110.0000 ;SURJA
31410-35250Y;BOMBA C. CLUTCH 5/8 TOY 22R 89-95 Y;0.00 ;152.0000 ;SURJA
31410-35420 Y;BOMBA C. CLUTCH 5/8  TOY.  TACOMA 01-04 YUHOLI;0.00 ;179.0000 ;SURJA
31410-60023 Y;BOMBA C. CLUTCH 3/4 TOY. LAND CRUISER 75- YUHOLI;0.00 ;156.0000 ;SURJA
31410-60050 Y;BOMBA C. CLUTCH 3/4 TOY. LAND CRUISER 81- YUHOLI;2.00 ;157.0000 ;SURJA
31410-60571 Y;BOMBA C. CLUTCH 5/8 TOYOTA HILUX 98-04 YUHOLI;0.00 ;258.0000 ;SURJA
31420-0K012-AL;BOMBA CENTRAL CLUTCH 5/8 TYT VIGO;0.00 ;188.0000 ;SURJA
31420-1410N;"BOMBA.CENTRAL.CLUTCH. 3/4"" HNO FF DE RODADO NEXG.";76.00 ;170.0000 ;SURJA
31420-1512N;"BOMBA.CENTRAL.CLUTCH. 3/4"" HNO FB/FC AGENCIA10.4T MFD 90-";0.00 ;167.0000 ;SURJA
31420-26200-ALY;BOMBA CENTRAL DE CLUCH HIACE 2006- 5/8 ALUM. Y;0.00 ;182.0000 ;SURJA
31420-52010 Y;BOMBA C. CLUTCH 5/8 YARIS 00- RAV4 96-05 YUHOLI;0.00 ;182.0000 ;SURJA
31470-0K050;BOMBA AUXILIAR DE CLUTCH 7/8 TOYOTA VIGO 04-;0.00 ;85.0000 ;SURJA
31470-10040Y;BOMBA AUX. CLUTCH 7/8 TOY TERCEL 96-;0.00 ;75.0000 ;SURJA
31470-1040N;BOMBA AUX CLUTCH 7/8 HNO FF RODADO NEXG.;138.00 ;125.0000 ;SURJA
31470-12091Y;BOMBA AUXIL.CLUTCH 13/16 TOYOTA COROLLA YUHOLI;0.00 ;71.0000 ;SURJA
31470-26090;BOMBA AUX. CLUTCH 13/16 TOY HIACE,T100;0.00 ;78.0000 ;SURJA
31470-30220N;BOMBA AUX. CLUTCH 13/16 TOYOTA HILUX 84-;70.00 ;70.0000 ;SURJA
31470-30220Y;BOMBA AUXILIAR 13/16 TOYOTA HILUX 84- YUHOLI;0.00 ;74.0000 ;SURJA
31470-30260Y;BOMBA AUXIL.CLUTCH 13/16 TOY HI-LUX 83-- YUHOLI;0.00 ;71.0000 ;SURJA
31470-32022;BOMBA AUX. CLUTCH 13/16 TOY COROLLA 02--;0.00 ;82.0000 ;SURJA
31470-35050D;BOMBA AUX. CLUTCH 13/16 TOY 22R;0.00 ;70.0000 ;SURJA
31470-35050N;BOMBA AUX. CLUTCH 13/16 TOY 22R NEXG.;190.00 ;70.0000 ;SURJA
31470-35050Y;BOMBA AUX. CLUTCH 13/16 TOY 22R;0.00 ;67.0000 ;SURJA
31470-35130;BOMBA AUXIL.CLUTCH 13/16 TOY HI-LUX 98-04 YUHOLI;0.00 ;93.0000 ;SURJA
31470-35190;BOMBA AUXILIAR CLUTCH 15-16 TYT TACOMA 03-13;0.00 ;85.0000 ;SURJA
31470-42020 Y;BOMBA AUXIL. CLUTCH 15/16 TOYOTA RAV 97-00 YUHOLI;0.00 ;83.0000 ;SURJA
31470-60201Y;BOMBA AUX DE CLUCH TOYOTA HIACE 13/16 YUHOLI;0.00 ;78.0000 ;SURJA
37230-0K020;SOPORTE DE TRANSMISION  TOYOTA VIGO 2WD,4WD 04-;7.00 ;120.0000 ;SURJA
37230-35030;SOPORTE TRANSMISION TOYOTA PICK UP 2WD 79-;0.00 ;99.0000 ;SURJA
37230-35050;SOPORTE TRANSMISION TOYOTA PICK UP 2WD 84-;10.00 ;95.0000 ;SURJA
37230-35080;SOPORTE DE TRANSMISION  TOY 4WD 83-;9.00 ;150.0000 ;SURJA
37230-35120;SOPORTE TRANSMISION TOYOTA PICK UP 2WD TACOMA;0.00 ;110.0000 ;SURJA
37521-01W25;SOPORTE DE TRASMICION NISSAN 720 80-86;0.00 ;95.0000 ;SURJA
37521-33G25;SOPORTE DE TRASMICION NISSAN PICK UP D21 88-96;0.00 ;95.0000 ;SURJA
37521-W1027;SOPORTE DE TRASMICION NISSAN D21 80-94;0.00 ;98.0000 ;SURJA
41100-B9600Y;BOMBA AUX. F.1 DAT. PICKUP DEL DERECHA YUHOLY;2.00 ;87.0000 ;SURJA
41101-B9600;"BOMBA AUXILIAR DE FRENO 1"" DATSUN PICK-UP DEL. DERECHA YUHOLI";1.00 ;87.0000 ;SURJA
41102-B9600 Y;"BOMBA AUX. FRENO 1"" DAT.PICKUP DEL. IZQUIE. YUHOLI";1.00 ;105.0000 ;SURJA
41103-B9600;"BOMBA AUXILIAR DE FRENO 1"" DATSUN PICK-UP DEL. IZQ";1.00 ;87.0000 ;SURJA
41110-10-41N;CORONA Y PIÑON RELACION 10-41 80181;51.00 ;660.0000 ;SURJA
41110-10-43N;CORONA Y PIÑON RELACION 10-43 80204;0.00 ;660.0000 ;SURJA
41110-9-41N;CORONA Y PIÑON RELACION 9-41 29536;60.00 ;660.0000 ;SURJA
41-L-4;TUERCA CAMPANA LARGA 1/4;0.00 ;4.6800 ;SURJA
41-L-6;TUERCA CAMPANA LARGA 3/8;0.00 ;9.9200 ;SURJA
42-10;UNION FLERING 5/8;0.00 ;29.1400 ;SURJA
42311-26290;FLECHA PARA HIACE 2KD TECHO ALTO;0.00 ;700.0000 ;SURJA
42311-26900;FLECHA PARA HIACE 2KD TECHO BAJO;0.00 ;700.0000 ;SURJA
42-6;UNION FLERING 3/8;0.00 ;11.5500 ;SURJA
42-8;UNION FLERING 1/2;0.00 ;25.6200 ;SURJA
43300-S5A-003Y;BOMBA AUX. F.3/4 HONDA CIVIC 01-YUHOLY;0.00 ;99.0000 ;SURJA
43301-S5A-003Y;46920-SBOMBA AUX. F.3/4 HONDA CIVIC 01-YUHOLY;0.00 ;90.0000 ;SURJA
44100-05N14;BOMBA AUXILIAR DE FRENO 13/16 NISSAN URVAN;0.00 ;75.0000 ;SURJA
44100-08G10Y;BOMBA AUX. FRENO 15/16 NISSAN PICK-UP D21 85- YUHOLI;0.00 ;87.0000 ;SURJA
44100-08G11Y;BOMBA AUXI. FRENO 7/8 NISSAN D21 YUHOLI;0.00 ;95.0000 ;SURJA
44100-08W12Y;BOMBA AUX. F. 11/16 NIS. PICK-UP D21 85-YUHOLY;0.00 ;80.0000 ;SURJA
44100-37G12;BOMBA AUX. FRENO 13-16 NISSAN D21 4WD 92-97;0.00 ;102.0000 ;SURJA
44100-3W400Y;BOMBA AUX. FRENO 7/8 NISSAN NAVARRA 02;0.00 ;70.0000 ;SURJA
44100-60A10;BOMBA  AUX. F. 5/8 NISSAN SENTRA,STANZA 86-;0.00 ;75.0000 ;SURJA
44100-B5000;BOMBA AUXILIAR DE FRENO 3/4 DATSUN PICK-UP J15 72-;0.00 ;93.0000 ;SURJA
44100-U9200 Y;BOMBA AUX. F. 13/16 NIS. B310. 160J 78- YUHOLI;0.00 ;85.0000 ;SURJA
44610-04040;"BOSTER TACOMA 95-01 9"" 2WD,4WD 4 TOR";0.00 ;552.0000 ;SURJA
44610-04040N;"BOSTER TACOMA 95-01 9"" 2WD,4WD 4 TOR NEXG.";0.00 ;485.0000 ;SURJA
44610-0K020;BOSTER TOYOTA HILUX VIGO 10 1/2;4.00 ;510.0000 ;SURJA
44610-26710;"BOSTER TOYOTA HIACE TURBO 05- 10 1/2""";0.00 ;495.0000 ;SURJA
44610-35680;"BOSTER TOYOTA 22R 84-92 8""";0.00 ;300.0000 ;SURJA
44610-35680N;"BOSTER TOYOTA 22R 84-92 8"" NEXG.";62.00 ;306.0000 ;SURJA
44610-3D091;"BOSTER TOYOTA 22R 89-97  9""";0.00 ;300.0000 ;SURJA
44610-3D091N;"BOSTER TOYOTA 22R 89-97  9"" NEXG.";38.00 ;312.0000 ;SURJA
44610-3D730;"BOSTER TOYOTA HILUX  9 1/2"" DEL 97-1 DOS TORNILLOS";0.00 ;460.0000 ;SURJA
44610-3D730N;"BOSTER TOYOTA HILUX 9 1/2"" DEL 97-1 DOS TORNILLOS NEXG.";12.00 ;405.0000 ;SURJA
44610-3D770;"BOSTER TOYOTA HILUX  98-2001 8 1/2"" DOS TORNILLOS";0.00 ;495.0000 ;SURJA
44610-3D770N;"BOSTER TOYOTA HILUX  98-2001 8 1/2"" DOS TORNILLOS NEXG.";26.00 ;455.0000 ;SURJA
44610-42170;BOSTER TYT RAV4 01-05;0.00 ;488.0000 ;SURJA
45401-19195;PITMAN PARA 22R 2WD;0.00 ;110.0000 ;SURJA
45401-35270;PITMAN PARA 22R 4WD;0.00 ;210.0000 ;SURJA
45451-39145;VARILLA CENTRAL 22R  4WD;0.00 ;245.0000 ;SURJA
45451-39145N;VARILLA CENTRAL 22R  4WD;18.00 ;215.0000 ;SURJA
46010-25G00;BOMBA C.FRENO 15-16PICK-UP D21 85-97;0.00 ;360.0000 ;SURJA
46010-R9000N;BOMBA CENTRAL  FRENO 15/16 URVAN 82-86 DER. F.;20.00 ;315.0000 ;SURJA
46010-VW001N;BOMBA CENTRAL  FRENO 1 URVAN 01-10;11.00 ;296.0000 ;SURJA
46100-S04-L52;BCF 15/16 CIVIC 97-98;0.00 ;621.0000 ;SURJA
46100-S9A-A01N;BOMBA CENTRAL FRENO 15/16 CR-V 02-04 NEXG.;83.00 ;296.0000 ;SURJA
46100-SO4-A13;BOMBA CENTRAL DE FRENOS 7/8 HONDA CIVIC 96-2000;0.00 ;395.0000 ;SURJA
46920-S04-A01 Y;BOMBA C. CLUTCH 5/8 HONDA CIVIC 96- YUHOLI;0.00 ;180.0000 ;SURJA
46920-S5A-G04;BOMBA C. CLUTCH 5/8 HONDA CIVIC 01-05 YUHOLI;0.00 ;246.0000 ;SURJA
